,code,grade
53,e76b910b-3156-4801-a73e-ddb16c763d43,95.0
54,b73f91f8-732f-4a48-bcbd-eadbbb457a94,94.0
55,271b130d-50bd-436e-add6-38d9c618be8a,97.0
56,43ff9786-2b47-425b-8bad-e274d9988a0e,98.0
57,6b4e988c-eead-46ff-a35b-b2fd325b2698,78.0
58,6b4e988c-eead-46ff-a35b-b2fd325b2698,78.0
59,f2f18684-4a16-4c05-a2d1-c0f96d1de869,100.0
60,dc9d3dc4-de7d-44e0-916c-04c85f94012a,95.0
61,b47559b3-3b5f-4958-bfa5-ec9f7a36aec0,98.0
62,c21be348-17bd-4fdd-88f5-137f6a13cdee,100.0
63,14ce054d-4619-4685-ba9b-4b5cd6f81b2d,97.0
64,7af13aaa-dd6a-4850-856d-73ea55d0c2ff,99.0
65,ebe86296-3cae-429a-9a7c-aa8f21cfd7cb,90.0
66,745ffa9e-f540-488a-b752-a3add11cb30b,73.0
67,c91d6fef-baf5-4e77-8bfc-b14fb7fc770d,100.0
68,58fcd378-aa29-4067-813c-bb4de525428e,100.0
69,cc9ecae2-a3bf-43df-9628-56f587f400be,94.0
70,d61b757d-88bc-4a33-a620-0d76712207c3,92.0
71,a1e834df-f4f6-4962-bcda-17f8aefc7f86,98.0
72,663f8b4e-b683-4365-8316-b1dd1d325110,99.0
73,663f8b4e-b683-4365-8316-b1dd1d325110,99.0
74,410d88de-2489-4a83-8dae-6bc01e8e9f78,88.0
75,2b9cf078-c56b-4020-9197-cd9f7d4f909c,94.0
76,63216e9b-5d0b-4047-97ee-302495d61640,86.0
77,5a62a8ee-c67c-475e-bd85-cf6d83c90ea9,100.0
78,918f3066-0b5a-46dc-92b8-b4279f0cb26e,99.0
79,5a62a8ee-c67c-475e-bd85-cf6d83c90ea9,100.0
80,65ea56c3-e205-4ed9-8b85-bd1876228cee,84.0
81,089eb66d-4c3a-4f58-b98f-a3774a2efb34,100.0
82,b57fe283-97a4-457f-a5d0-ef441650c968,99.0
83,76a73730-6432-4f30-bb59-7a609bc9ba43,99.0
84,f8ec3336-fd48-4654-ad98-62ccfb96d096,100.0
85,0225686d-b825-4cac-8691-3a3a5343df2b,99.0
86,ab775974-7ddb-4a60-aef2-4655d7bb746d,95.0
87,41b82427-7ae2-4c55-b8a3-310bb4abada0,94.0
88,41b82427-7ae2-4c55-b8a3-310bb4abada0,94.0
89,854397cb-a264-4bad-b30f-a9c1ba012511,95.0
90,36bab6e3-0d16-4626-846b-33c0384f0c79,100.0
91,e8fd2278-1620-432d-81cb-02cac8543456,15.0
92,8a84e6e5-d200-4cc2-a288-5c81201100c7,94.0
93,5dbf76be-6634-4d42-a87f-b62b7fa6ceae,97.0
94,f852596d-fdca-45aa-9050-d4f76ce6a53c,98.0
95,5541316f-6fbd-4441-b513-ac252e6355ec,100.0
96,79cf72c1-d3aa-4e09-8ff2-6a8ad51b22ef,99.0
97,97f57cf9-4f02-4f8c-b65c-8ea0009a82a2,100.0
98,97f57cf9-4f02-4f8c-b65c-8ea0009a82a2,100.0
99,0c95c563-f1e1-4a35-844c-2e8ccdd1b161,96.0
100,45d2c21a-828e-46d9-8fcd-a4a39888773c,98.0
101,45d2c21a-828e-46d9-8fcd-a4a39888773c,98.0
102,24f01035-0717-4256-9952-c415aa8ecd10,95.0
103,42980d53-7bcd-4a36-bf3a-aa43f7417ac5,71.0
104,041f950b-c013-409a-a642-cffff60b9d4b,90.0
105,4e6fdf20-96fa-4f62-bf55-5c4c695afebe,94.0
106,d4ab3f85-fdfb-434b-9774-96d94fd15d69,92.0
107,3104d903-6012-484c-bd00-b93594b289ea,87.0
108,2446216c-c557-4ee8-b470-7e2ae3c88968,98.0
109,7c734c12-e18b-4de8-9004-c2523878db31,86.0
110,7b0ecddc-caa5-4b81-88ea-cd65a7270900,100.0
111,0f0c953a-a472-47c1-809b-9fc14dba9091,83.0
112,1029802d-1057-4e3e-b827-e8a9c2ded3b9,94.0
113,da219169-aacb-48b8-abdc-e25f08ad029e,51.0
114,4fb21782-81f0-47c1-8831-58a748904a2c,85.0
115,17bd62e7-6792-4399-a573-07456a73901b,100.0
116,b61f3f4c-785e-4d7c-b963-4480ece4656f,93.0
117,30283b91-7fc3-4125-985b-b441f0f489d6,99.0
118,26d95379-e2f1-454c-a9d2-60cd80bc06a5,100.0
119,8121427e-e5b1-400b-8342-d5d1c865f1d7,86.0
120,597c7a93-6b16-4af9-9846-154599f596e1,91.0
121,745bb746-6467-4146-8ef5-55f3ee3f589e,100.0
122,1b54e38b-3b1d-425e-835a-d1e0fb2694fc,100.0
123,b5fe7d4d-e4a5-4ebd-8058-069d6505eb01,96.0
124,27de4332-d81f-47a2-b2a9-c0b023a30919,100.0
125,ab775974-7ddb-4a60-aef2-4655d7bb746d,95.0
126,8505dcd7-9a9e-4ac3-b708-d3ffea7e6bb8,95.0
127,6de08d44-bb5b-491d-a11e-51caa1eccd0c,90.0
128,38296004-7336-4797-9db4-662a48309a1c,98.0
129,7ac3f7a5-bdbb-470c-a1b3-03da5887a408,97.0
130,a0132e5d-4e16-4600-b2a7-5b6cd68a8b6a,99.0
131,1038cb22-8ad2-4030-b44a-59f10352e91c,100.0
132,a0132e5d-4e16-4600-b2a7-5b6cd68a8b6a,99.0
133,53ad17d1-5eb2-4af6-9c38-3c90c05ee695,96.0
134,0031c86e-81f4-4eef-9e0e-28037abf9883,48.0
135,adb31914-fa31-471d-b476-6111c393ec42,85.0
136,331a45a0-341c-4faf-97de-75c82b31b61f,93.0
137,331a45a0-341c-4faf-97de-75c82b31b61f,93.0
138,7421916d-a0b5-4f0b-ad47-25a0cbf1b239,85.0
139,e779a2d6-6e4e-4ade-8a30-d624166c2ab3,82.0
140,6c37a2d7-f786-4fc2-ba7a-04c3f961a365,89.0
141,5e481e20-f714-4f11-b941-0ef2fd5976d3,31.0
142,b24c3a33-2952-4ae4-9f2d-643d8fdbc600,78.0
143,8be8e839-6dd0-44e0-b039-170b5b77cf2a,86.0
144,a014d72a-81ad-43a4-8a2c-8046b7666320,91.0
